Comment,Designator,Footprint,LCSC
SK6812MINI-E,LED3,LED_6028R,
1u,C16,C_0402_1005Metric,
220,R8,R_0402_1005Metric,
1k,R1,R_0402_1005Metric,
RP2040,U1,RP2040-QFN-56,
5.1k,R2,R_0402_1005Metric,
W25Q32JVSS,U4,SOIC-8_5.23x5.23mm_P1.27mm,
100n,C6,C_0402_1005Metric,
100n,C11,C_0402_1005Metric,
Crystal_GND24_Small,Y1,C70565,
100n,C8,C_0402_1005Metric,
0.1u,C20,C_0402_1005Metric,
10u,C4,C_0402_1005Metric,
1u,C7,C_0402_1005Metric,
100n,C15,C_0402_1005Metric,
100n,C5,C_0402_1005Metric,
10u,C1,C_0402_1005Metric,
WS2812B,D1,WS2812B-B,
27,R5,R_0402_1005Metric,
0.1u,C21,C_0402_1005Metric,
1k,R6,R_0402_1005Metric,
0.1u,C17,C_0402_1005Metric,
100n,C10,C_0402_1005Metric,
500mA,F1,Fuse_0402_1005Metric,
Conn_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,
100n,C12,C_0402_1005Metric,
27,R4,R_0402_1005Metric,
220,R9,R_0402_1005Metric,
10p,C2,C_0402_1005Metric,
WS2812B,D2,WS2812B-B,
5.1k,R3,R_0402_1005Metric,
0.1u,C18,C_0402_1005Metric,
SK6812MINI-E,LED2,LED_6028R,
SRV05-4,U2,SOT-23-6-routable,
10p,C3,C_0402_1005Metric,
MX_SW_HS,SW1,C2803348,
MX_SW_HS,SW2,C2803348,
XC6206PxxxMR,U3,SOT-23,
100n,C9,C_0402_1005Metric,
SK6812MINI-E,LED1,LED_6028R,
0.1u,C19,C_0402_1005Metric,
100n,C13,C_0402_1005Metric,
MX_SW_HS,SW3,C2803348,
DNF,R7,R_0402_1005Metric,
100n,C14,C_0402_1005Metric,
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
