Comment,Designator,Footprint,LCSC
SK6812MINI-E,LED3,LED_6028R,
1u,C16,C_0402_1005Metric,
5.1k,R1,R_0402_1005Metric,
XC6206PxxxMR,U1,SOT-23,
DNF,R2,R_0402_1005Metric,
RP2040,U4,RP2040-QFN-56,
100n,C6,C_0402_1005Metric,
100n,C11,C_0402_1005Metric,
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,
1u,C8,C_0402_1005Metric,
100n,C20,C_0402_1005Metric,
20pF,C4,C_0402_1005Metric,
100n,C7,C_0402_1005Metric,
100n,C15,C_0402_1005Metric,
20pF,C5,C_0402_1005Metric,
100n,C1,C_0402_1005Metric,
WS2812B,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
27,R5,R_0402_1005Metric,
100n,C21,C_0402_1005Metric,
27,R6,R_0402_1005Metric,
100n,C17,C_0402_1005Metric,
100n,C10,C_0402_1005Metric,
500mA,F1,Fuse_0402_1005Metric,
Conn_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,
100n,C12,C_0402_1005Metric,
1k,R4,R_0402_1005Metric,
1k,R9,R_0402_1005Metric,
1uF,C2,C_0402_1005Metric,
WS2812B,D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
5.1k,R3,R_0402_1005Metric,
100n,C18,C_0402_1005Metric,
SK6812MINI-E,LED2,LED_6028R,
SRV05-4,U2,SOT-23-6-routable,
1uF,C3,C_0402_1005Metric,
MX_SW_HS,SW1,SW_MX_HS_1u,
MX_SW_HS,SW2,SW_MX_HS_1u,
W25Q32JVSS,U3,SOIC-8_5.23x5.23mm_P1.27mm,
100n,C9,C_0402_1005Metric,
SK6812MINI-E,LED1,LED_6028R,
100n,C19,C_0402_1005Metric,
100n,C13,C_0402_1005Metric,
MX_SW_HS,SW3,SW_MX_HS_1u,
220,R7,R_0402_1005Metric,
100n,C14,C_0402_1005Metric,
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
220,R8,R_0402_1005Metric,
