Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,80.693375,-81.84875,-90.0,top
C2,1uF,C_0402_1005Metric,90.8877,-50.2546,0.0,top
C3,1uF,C_0402_1005Metric,94.24,-47.26,-90.0,top
C4,20pF,C_0402_1005Metric,92.66625,-75.845,180.0,top
C5,20pF,C_0402_1005Metric,92.65625,-81.69,0.0,top
C6,100n,C_0402_1005Metric,75.195,-76.955,180.0,top
C7,100n,C_0402_1005Metric,92.66625,-73.425,0.0,top
C8,1u,C_0402_1005Metric,75.195,-71.695,180.0,top
C9,100n,C_0402_1005Metric,79.94625,-71.119,90.0,top
C10,100n,C_0402_1005Metric,64.68,-78.82,180.0,top
C11,100n,C_0402_1005Metric,92.66625,-74.545,0.0,top
C12,100n,C_0402_1005Metric,84.26425,-71.29,90.0,top
C13,100n,C_0402_1005Metric,78.67625,-71.119,90.0,top
C14,100n,C_0402_1005Metric,75.195,-75.939,180.0,top
C15,100n,C_0402_1005Metric,84.249375,-81.82075,-90.0,top
C16,1u,C_0402_1005Metric,75.195,-70.6282,180.0,top
C17,100n,C_0402_1005Metric,107.5,-75.212,180.0,top
C18,100n,C_0402_1005Metric,65.4975,-72.7225,90.0,top
C19,100n,C_0402_1005Metric,100.060625,-67.084,0.0,top
C20,100n,C_0402_1005Metric,81.010625,-67.084,0.0,top
C21,100n,C_0402_1005Metric,61.960625,-67.084,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,105.525375,-71.5925,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,60.666375,-71.5925,180.0,top
F1,500mA,Fuse_0402_1005Metric,88.519,-47.217,-90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,83.34375,-39.6875,180.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,61.09,-78.82,0.0,top
LED1,SK6812MINI-E,LED_6028R,102.350375,-64.29,180.0,top
LED2,SK6812MINI-E,LED_6028R,83.300375,-64.29,180.0,top
LED3,SK6812MINI-E,LED_6028R,64.250375,-64.29,180.0,top
R1,5.1k,R_0402_1005Metric,86.106,-46.482,-90.0,top
R2,DNF,R_0402_1005Metric,65.041625,-81.29625,90.0,top
R3,5.1k,R_0402_1005Metric,80.645,-46.484,-90.0,top
R4,1k,R_0402_1005Metric,63.77,-81.3,-90.0,top
R5,27,R_0402_1005Metric,75.2025,-74.43125,180.0,top
R6,27,R_0402_1005Metric,75.2025,-73.26285,180.0,top
R7,220,R_0402_1005Metric,102.43,-75.22,0.0,top
R8,220,R_0402_1005Metric,104.58,-67.14,0.0,top
R9,1k,R_0402_1005Metric,89.04625,-74.205,-90.0,top
SW1,MX_SW_HS,SW_MX_HS_1u,64.250375,-59.21,0.0,top
SW2,MX_SW_HS,SW_MX_HS_1u,83.300375,-59.21,0.0,top
SW3,MX_SW_HS,SW_MX_HS_1u,102.350375,-59.21,0.0,top
U1,XC6206PxxxMR,SOT-23,91.34,-47.74,180.0,top
U2,SRV05-4,SOT-23-6-routable,83.34375,-48.133,0.0,top
U3,W25Q32JVSS,SOIC-8_5.23x5.23mm_P1.27mm,71.38,-80.54,0.0,top
U4,RP2040,RP2040-QFN-56,83.28,-76.50875,90.0,top
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,91.95625,-78.715,-90.0,top
